id,price
188533,18292.247777427754
188534,80306.46211098247
188535,60295.816819684085
188536,25066.8713215757
188537,30733.20844849964
188538,16981.32677848339
188539,13642.166154639179
188540,43981.667265240074
188541,85321.49446770642
188542,33494.642254731225
188543,26966.983720600034
188544,12589.587444394963
188545,55476.586985177906
188546,116928.75580110762
188547,18929.65185538038
188548,100084.29964814812
188549,21938.954665534224
188550,10075.22401316845
188551,89325.36660811698
188552,57203.89606064959
188553,72874.90253787303
188554,21125.661915482953
188555,45028.46092800778
188556,20244.015719188836
188557,21288.970320188215
188558,80286.04947660118
188559,27072.94202949962
188560,16492.883349942826
188561,77884.51228921639
188562,26117.412499217862
188563,98511.91465284956
188564,59244.228700456726
188565,48225.74954837004
188566,31907.667863563056
188567,14995.590518710587
188568,46776.778736497195
188569,18583.31093574837
188570,16216.687466902784
188571,38536.687830912975
188572,104632.96416184018
188573,28625.960911166407
188574,34832.98039229537
188575,44389.38414238396
188576,33337.07451705806
188577,12934.515136696518
188578,34177.91918422393
188579,43665.11542113536
188580,39725.07171803865
188581,95391.10551381744
188582,28149.209009748145
188583,101172.7797658761
188584,31874.20104909123
188585,39675.45478840866
188586,28933.550627078534
188587,60165.879490980325
188588,27430.747970188513
188589,16139.313500006592
188590,28632.5960685364
188591,27251.354374616643
188592,37601.37116499976
188593,28922.111986034884
188594,73780.4826515678
188595,28035.44731727848
188596,56324.53874635615
188597,29497.62068437531
188598,26211.237484166955
188599,11802.514191311722
188600,66258.75701572478
188601,59911.267173272536
188602,34140.58918387098
188603,123676.71285436176
188604,11769.734085404009
188605,39919.120552923145
188606,35367.26054206544
188607,59674.82110402408
188608,14446.714637762372
188609,53739.58397528679
188610,48887.999202752435
188611,19712.876241452883
188612,75432.81402327356
188613,23614.206479835124
188614,23154.08563648781
188615,31966.88583240995
188616,102977.75554173782
188617,47974.60550318605
188618,25276.723330351768
188619,84400.1842436373
188620,21375.079590315538
188621,23682.785032348867
188622,106764.95401109639
188623,53016.081574259864
188624,44983.56980679506
188625,32424.01557864726
188626,19813.679112152924
188627,102303.17036246165
188628,102021.87777950978
188629,26064.997014518693
188630,24653.41230114622
188631,59386.64524237028
188632,50471.56674701619
188633,58581.8445556047
188634,10873.282300831543
188635,33159.01350443793
188636,56412.40090061881
188637,12386.235965841423
188638,36323.18412614204
188639,23137.455481566183
188640,11680.682442241328
188641,25698.30025062148
188642,12407.39257414237
188643,92916.36557050284
188644,96899.66535996708
188645,60659.9407606728
188646,14651.139525802068
188647,27848.4199130104
188648,26418.888383714424
188649,37526.859679026085
188650,106635.02066568512
188651,52559.370512993526
188652,62854.83052076045
188653,73491.15485802322
188654,13885.203823078951
188655,21146.570727094248
188656,27557.823233220384
188657,34734.82882040149
188658,10130.88019265597
188659,59673.14711526733
188660,11379.054130640177
188661,99645.21960546414
188662,10912.760928737382
188663,16195.717231932937
188664,86197.11539634215
188665,141538.11518349985
188666,26125.990116738736
188667,10171.40268527116
188668,16770.40212411349
188669,26780.329468420143
188670,67232.26410828179
188671,22106.40091431316
188672,26733.47180991569
188673,61681.95207734752
188674,16621.829143012532
188675,31335.33716823654
188676,49437.08844803079
188677,10750.9669213322
188678,34017.068865668
188679,40822.40187402475
188680,67561.53558942431
188681,13118.073351958139
188682,15465.010543987974
188683,14651.601337357451
188684,74968.94929972697
188685,50285.3970032093
188686,103187.06397249046
188687,21337.276938668067
188688,36309.83079483192
188689,12642.270267961869
188690,39882.35603169384
188691,47131.96631984253
188692,30709.183193199286
188693,13509.524416430682
188694,14091.533017302945
188695,21747.07503794798
188696,73620.45902083878
188697,27055.148810017326
188698,19416.94834088237
188699,59094.115295933
188700,140757.33513071635
188701,32234.8418481502
188702,12298.720625840806
188703,89018.54490995346
188704,49401.60580124954
188705,25509.887351732952
188706,106548.56072182246
188707,11683.666452069614
188708,21969.442476432996
188709,13144.976730943146
188710,21602.768675342813
188711,29633.044629702177
188712,66652.54214794886
188713,31844.8212262004
188714,23926.602149398943
188715,41417.34590528366
188716,79417.88964757501
188717,12396.748360510777
188718,17728.99420003682
188719,39658.81704248508
188720,17661.62403457956
188721,78413.06263642466
188722,60544.11099536493
188723,22927.49635780827
188724,28370.262990753836
188725,12480.934587544965
188726,41935.824509768034
188727,11828.197388207334
